run_id,status,batch_size,sample_ids,input_lens,output_lens,max_input_len,max_output_len,max_n_generated,batch_ttft_ms,batch_e2e_ms,error
0,OK,1,[4003],[1751],[44],1751,44,44,,342.32,
1,OK,1,[6171],[733],[75],733,75,75,,481.417,
2,OK,1,[9237],[1279],[57],1279,57,57,,391.048,
3,OK,1,[8023],[508],[58],508,58,58,,369.226,
4,OK,1,[8],[606],[49],606,49,49,,319.052,
5,OK,1,[3781],[822],[79],822,79,79,,512.029,
6,OK,1,[3819],[826],[69],826,69,69,,451.56,
7,OK,1,[1627],[1714],[142],1714,142,142,,938.452,
8,OK,1,[4109],[1536],[39],1536,39,39,,295.793,
9,OK,1,[9009],[708],[42],708,42,42,,281.761,
10,OK,1,[7641],[1230],[78],1230,78,78,,518.034,
11,OK,1,[9766],[737],[51],737,51,51,,336.394,
12,OK,1,[9680],[1673],[61],1673,61,61,,444.581,
13,OK,1,[957],[1042],[101],1042,101,101,,654.641,
14,OK,1,[593],[764],[40],764,40,40,,269.989,
15,OK,1,[688],[947],[83],947,83,83,,540.411,
16,OK,1,[9710],[490],[74],490,74,74,,465.364,
17,OK,1,[9343],[387],[62],387,62,62,,391.47,
18,OK,1,[5863],[271],[72],271,72,72,,446.037,
19,OK,1,[4897],[398],[72],398,72,72,,451.856,
20,OK,1,[9075],[838],[95],838,95,95,,609.219,
21,OK,1,[251],[1027],[108],1027,108,108,,695.777,
22,OK,1,[5671],[379],[59],379,59,59,,368.755,
23,OK,1,[6681],[838],[96],838,96,96,,615.142,
24,OK,1,[1452],[854],[43],854,43,43,,294.907,
25,OK,1,[4762],[803],[55],803,55,55,,366.504,
26,OK,1,[6446],[954],[58],954,58,58,,388.857,
27,OK,1,[2706],[639],[53],639,53,53,,343.638,
28,OK,1,[8328],[689],[12],689,12,12,,99.917,
29,OK,1,[6759],[882],[45],882,45,45,,307.432,
30,OK,1,[9435],[1340],[62],1340,62,62,,426.24,
31,OK,1,[9584],[802],[63],802,63,63,,414.809,
32,OK,1,[464],[495],[42],495,42,42,,272.39,
33,OK,1,[2840],[993],[67],993,67,67,,443.477,
34,OK,1,[7847],[523],[41],523,41,41,,268.406,
35,OK,1,[5796],[846],[63],846,63,63,,415.949,
36,OK,1,[8404],[1138],[39],1138,39,39,,279.825,
37,OK,1,[8505],[2033],[57],2033,57,57,,428.166,
38,OK,1,[8566],[731],[70],731,70,70,,450.903,
39,OK,1,[9965],[863],[47],863,47,47,,319.306,
40,OK,1,[5910],[1401],[55],1401,55,55,,384.437,
41,OK,1,[1003],[1044],[60],1044,60,60,,406.15,
42,OK,1,[5031],[1879],[72],1879,72,72,,515.315,
43,OK,1,[9264],[830],[63],830,63,63,,415.286,
44,OK,1,[78],[561],[43],561,43,43,,280.639,
45,OK,1,[1245],[1109],[63],1109,63,63,,425.067,
46,OK,1,[5405],[884],[37],884,37,37,,258.85,
47,OK,1,[7389],[656],[43],656,43,43,,287.198,
48,OK,1,[9070],[793],[56],793,56,56,,372.356,
49,OK,1,[7808],[422],[67],422,67,67,,421.875,
