layer,tokens,time_us
o_proj,1920,255.984
gate_up_proj,1920,1260.009
act_fn,1920,799.452
down_proj,1920,321.314
layernorm,1984,576.2585
qkv_proj,1984,1137.628
rotary_emb,1984,486.927
o_proj,1984,395.646
gate_up_proj,1984,1427.291
act_fn,1984,891.113
down_proj,1984,331.705
layernorm,2048,603.9145
qkv_proj,2048,1041.496
rotary_emb,2048,500.968
o_proj,2048,263.134
gate_up_proj,2048,1398.453
act_fn,2048,826.174
down_proj,2048,332.855
layernorm,2112,596.4195
qkv_proj,2112,1117.4389999999999
rotary_emb,2112,489.138
o_proj,2112,302.835
gate_up_proj,2112,1510.825
act_fn,2112,885.164
down_proj,2112,357.216
layernorm,2176,590.0695000000001
qkv_proj,2176,1133.128
rotary_emb,2176,407.516
o_proj,2176,327.746
gate_up_proj,2176,1507.214
act_fn,2176,894.634
down_proj,2176,343.126
layernorm,2240,588.9945
qkv_proj,2240,1150.838
rotary_emb,2240,485.868
o_proj,2240,282.844
gate_up_proj,2240,1599.2359999999999
act_fn,2240,901.285
down_proj,2240,371.816
layernorm,2304,636.6005
qkv_proj,2304,1152.1580000000001
rotary_emb,2304,504.778
o_proj,2304,266.794
gate_up_proj,2304,1566.7559999999999
act_fn,2304,906.525
down_proj,2304,368.426
layernorm,2368,678.701
qkv_proj,2368,1388.902
rotary_emb,2368,444.507
o_proj,2368,468.257
gate_up_proj,2368,1798.6580000000001
act_fn,2368,1044.377
down_proj,2368,423.467
layernorm,2432,631.3245
qkv_proj,2432,1204.988
rotary_emb,2432,444.606
o_proj,2432,350.146
gate_up_proj,2432,1668.6970000000001
act_fn,2432,983.695
down_proj,2432,385.246
layernorm,2496,647.3455
qkv_proj,2496,1249.82
rotary_emb,2496,452.758
o_proj,2496,293.655
gate_up_proj,2496,1764.487
act_fn,2496,986.086
down_proj,2496,370.735
layernorm,2560,668.2055
qkv_proj,2560,1268.699
rotary_emb,2560,419.217
o_proj,2560,284.674
gate_up_proj,2560,1713.2060000000001
act_fn,2560,997.225
down_proj,2560,389.606
layernorm,2624,689.891
qkv_proj,2624,1373.851
rotary_emb,2624,526.869
o_proj,2624,460.537
gate_up_proj,2624,1866.1399999999999
act_fn,2624,1078.457
down_proj,2624,389.316
layernorm,2688,665.9849999999999
qkv_proj,2688,1292.152
rotary_emb,2688,436.467
o_proj,2688,287.994
gate_up_proj,2688,1774.429
act_fn,2688,1033.047
down_proj,2688,396.326
layernorm,2752,688.9515
qkv_proj,2752,1501.2440000000001
rotary_emb,2752,416.246
o_proj,2752,474.138
gate_up_proj,2752,2052.8230000000003
act_fn,2752,1163.618
down_proj,2752,405.306
layernorm,2816,680.281
qkv_proj,2816,1368.6329999999998
rotary_emb,2816,432.727
o_proj,2816,296.494
gate_up_proj,2816,1909.61
act_fn,2816,1076.827
down_proj,2816,434.666
layernorm,2880,691.806
qkv_proj,2880,1387.031
rotary_emb,2880,449.167
o_proj,2880,311.674
gate_up_proj,2880,1973.4810000000002
act_fn,2880,1117.327
down_proj,2880,419.126
layernorm,2944,737.6514999999999
qkv_proj,2944,1400.1709999999998
rotary_emb,2944,457.338
o_proj,2944,403.237
gate_up_proj,2944,1970.311
act_fn,2944,1144.638
down_proj,2944,448.957
layernorm,3008,725.171
qkv_proj,3008,1665.3259999999998
rotary_emb,3008,513.628
o_proj,3008,505.758
gate_up_proj,3008,2237.766
act_fn,3008,1234.03
down_proj,3008,453.157
layernorm,3072,693.0360000000001
qkv_proj,3072,1498.973
rotary_emb,3072,504.188
o_proj,3072,300.245
gate_up_proj,3072,2052.681
act_fn,3072,1126.088
down_proj,3072,443.097
layernorm,3136,726.8064999999999
qkv_proj,3136,1517.953
rotary_emb,3136,441.067
o_proj,3136,349.076
gate_up_proj,3136,2157.6040000000003
act_fn,3136,1198.568
down_proj,3136,451.227
layernorm,3200,758.3969999999999
qkv_proj,3200,1496.463
rotary_emb,3200,459.237
o_proj,3200,309.225
gate_up_proj,3200,2091.812
act_fn,3200,1184.639
down_proj,3200,458.797
layernorm,3264,947.065
qkv_proj,3264,1627.155
rotary_emb,3264,458.407
o_proj,3264,360.826
gate_up_proj,3264,2271.766
act_fn,3264,1209.749
down_proj,3264,480.078
layernorm,3328,789.8675000000001
qkv_proj,3328,1583.4850000000001
rotary_emb,3328,451.167
o_proj,3328,314.285
gate_up_proj,3328,2190.034
act_fn,3328,1211.639
down_proj,3328,490.138
layernorm,3392,776.9025
qkv_proj,3392,1822.339
rotary_emb,3392,494.318
o_proj,3392,543.278
gate_up_proj,3392,2359.617
act_fn,3392,1365.081
down_proj,3392,487.348
layernorm,3456,817.6375
qkv_proj,3456,1693.537
rotary_emb,3456,444.167
o_proj,3456,349.246
gate_up_proj,3456,2328.568
act_fn,3456,1309.92
down_proj,3456,517.318
layernorm,3520,806.893
qkv_proj,3520,1711.1270000000002
rotary_emb,3520,470.168
o_proj,3520,344.125
gate_up_proj,3520,2371.077
act_fn,3520,1302.66
down_proj,3520,491.128
layernorm,3584,823.548
qkv_proj,3584,1722.067
rotary_emb,3584,521.838
o_proj,3584,353.135
gate_up_proj,3584,2392.097
act_fn,3584,1298.811
down_proj,3584,521.899
layernorm,3648,829.5725
qkv_proj,3648,1665.696
rotary_emb,3648,422.506
o_proj,3648,377.476
