prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,32,4,64,23.7227
16,32,4,128,24.6613
16,32,4,256,40.458
16,32,4,512,59.733
16,32,4,1024,83.3177
16,32,4,2048,128.639
16,32,4,4096,232.405
16,32,4,8192,428.862
16,32,8,16,34.816
16,32,8,32,34.7623
16,32,8,64,35.3277
16,32,8,128,37.461
16,32,8,256,64.064
16,32,8,512,90.7093
16,32,8,1024,130.943
16,32,8,2048,223.977
16,32,8,4096,401.129
16,32,8,8192,777.757
16,32,16,16,62.272
16,32,16,32,62.6337
16,32,16,64,64.3733
16,32,16,128,66.0477
16,32,16,256,113.92
16,32,16,512,156.511
16,32,16,1024,244.351
16,32,16,2048,413.727
16,32,16,4096,735.229
16,32,16,8192,2063
16,32,32,16,112.02
16,32,32,32,112.149
16,32,32,64,114.154
16,32,32,128,119.498
16,32,32,256,220.34
16,32,32,512,343.102
16,32,32,1024,562.345
16,32,32,2048,978.471
16,32,32,4096,1905.38
16,32,32,8192,6171.35
16,64,0,0,11.7433
16,64,1,16,16.939
16,64,1,32,17.1837
16,64,1,64,17.333
16,64,1,128,17.7277
16,64,1,256,22.336
16,64,1,512,26.6027
16,64,1,1024,35.125
16,64,1,2048,49.557
16,64,1,4096,77.9517
16,64,1,8192,133.984
16,64,2,16,17.4507
16,64,2,32,17.557
16,64,2,64,17.6747
16,64,2,128,18.251
16,64,2,256,28.715
16,64,2,512,43.9037
16,64,2,1024,59.6157
16,64,2,2048,88.3097
16,64,2,4096,149.589
16,64,2,8192,275.551
16,64,4,16,23.1677
16,64,4,32,23.296
16,64,4,64,23.808
16,64,4,128,24.7357
16,64,4,256,40.9173
16,64,4,512,59.445
16,64,4,1024,82.4957
16,64,4,2048,129.247
16,64,4,4096,232.906
16,64,4,8192,431.423
16,64,8,16,34.9547
16,64,8,32,34.9757
16,64,8,64,35.9253
16,64,8,128,37.802
16,64,8,256,64.4793
16,64,8,512,91.0823
16,64,8,1024,130.069
16,64,8,2048,224.65
16,64,8,4096,399.39
16,64,8,8192,776.051
16,64,16,16,62.7517
16,64,16,32,63.039
16,64,16,64,64.7463
16,64,16,128,66.6663
16,64,16,256,113.439
16,64,16,512,157.162
16,64,16,1024,245.343
16,64,16,2048,414.451
16,64,16,4096,734.355
16,64,16,8192,2050.34
16,64,32,16,111.925
16,64,32,32,113.023
16,64,32,64,114.005
16,64,32,128,119.776
16,64,32,256,220.244
16,64,32,512,342.645
16,64,32,1024,561.31
16,64,32,2048,977.127
16,64,32,4096,1928.58
16,64,32,8192,6170.07
16,128,0,0,12.0427
16,128,1,16,17.44
16,128,1,32,17.4403
16,128,1,64,17.5257
16,128,1,128,17.92
16,128,1,256,22.496
16,128,1,512,26.7953
16,128,1,1024,35.2323
16,128,1,2048,49.4613
16,128,1,4096,78.261
16,128,1,8192,134.655
16,128,2,16,17.6957
16,128,2,32,17.6533
16,128,2,64,17.995
16,128,2,128,18.624
16,128,2,256,28.832
16,128,2,512,43.4023
16,128,2,1024,58.8903
16,128,2,2048,88.5863
16,128,2,4096,149.12
16,128,2,8192,276.425
16,128,4,16,23.3173
16,128,4,32,23.3703
16,128,4,64,24.0637
16,128,4,128,24.938
16,128,4,256,40.7357
16,128,4,512,60.085
16,128,4,1024,82.6343
16,128,4,2048,128.703
16,128,4,4096,232.735
16,128,4,8192,429.63
16,128,8,16,35.0827
16,128,8,32,35.232
16,128,8,64,35.8927
16,128,8,128,37.6213
16,128,8,256,64.928
16,128,8,512,91.0607
16,128,8,1024,130.219
16,128,8,2048,225.866
16,128,8,4096,400.286
16,128,8,8192,780.723
16,128,16,16,63.0613
16,128,16,32,62.9973
16,128,16,64,63.9793
16,128,16,128,66.3677
16,128,16,256,113.162
16,128,16,512,157.418
16,128,16,1024,243.956
16,128,16,2048,414.878
16,128,16,4096,734.814
16,128,16,8192,2076.91
16,128,32,16,111.84
16,128,32,32,112.693
16,128,32,64,114.922
16,128,32,128,120.17
16,128,32,256,220.779
16,128,32,512,341.257
16,128,32,1024,559.4
16,128,32,2048,976.679
16,128,32,4096,1927.56
16,128,32,8192,6222.24
16,256,0,0,18.688
16,256,1,16,22.3357
16,256,1,32,22.165
16,256,1,64,22.421
16,256,1,128,22.7413
16,256,1,256,30.4427
16,256,1,512,34.8377
16,256,1,1024,41.909
16,256,1,2048,55.445
16,256,1,4096,80.7037
16,256,1,8192,134.271
16,256,2,16,22.538
16,256,2,32,22.5493
16,256,2,64,22.955
16,256,2,128,23.0607
16,256,2,256,31.488
16,256,2,512,43.3063
16,256,2,1024,58.6663
