layer,tokens,time_us
qkv_proj,1920,1164.518
rotary_emb,1920,429.02
o_proj,1920,326.768
gate_up_proj,1920,2063.078
act_fn,1920,1594.267
down_proj,1920,519.712
layernorm,1984,709.0065
qkv_proj,1984,1345.9630000000002
rotary_emb,1984,533.752
o_proj,1984,473.202
gate_up_proj,1984,2233.982
act_fn,1984,1685.2
down_proj,1984,540.022
layernorm,2048,782.0285
qkv_proj,2048,1249.1399999999999
rotary_emb,2048,515.102
o_proj,2048,329.807
gate_up_proj,2048,2238.121
act_fn,2048,1681.349
down_proj,2048,552.133
layernorm,2112,637.77
qkv_proj,2112,1350.351
rotary_emb,2112,440.401
o_proj,2112,374.928
gate_up_proj,2112,2383.616
act_fn,2112,1731.06
down_proj,2112,567.073
layernorm,2176,660.265
qkv_proj,2176,1335.6799999999998
rotary_emb,2176,485.181
o_proj,2176,359.159
gate_up_proj,2176,2350.265
act_fn,2176,1758.851
down_proj,2176,578.464
layernorm,2240,676.3154999999999
qkv_proj,2240,1379.7630000000001
rotary_emb,2240,471.401
o_proj,2240,390.209
gate_up_proj,2240,2542.678
act_fn,2240,1836.773
down_proj,2240,592.763
layernorm,2304,694.5409999999999
qkv_proj,2304,1343.623
rotary_emb,2304,525.422
o_proj,2304,368.929
gate_up_proj,2304,2398.766
act_fn,2304,1774.332
down_proj,2304,591.763
layernorm,2368,699.2764999999999
qkv_proj,2368,1520.1950000000002
rotary_emb,2368,610.924
o_proj,2368,537.373
gate_up_proj,2368,2634.891
act_fn,2368,1935.116
down_proj,2368,602.164
layernorm,2432,692.181
qkv_proj,2432,1452.266
rotary_emb,2432,457.28
o_proj,2432,385.739
gate_up_proj,2432,2576.25
act_fn,2432,1891.384
down_proj,2432,615.744
layernorm,2496,669.0355
qkv_proj,2496,1516.625
rotary_emb,2496,461.1
o_proj,2496,402.46
gate_up_proj,2496,2765.545
act_fn,2496,1977.546
down_proj,2496,639.825
layernorm,2560,767.363
qkv_proj,2560,1522.846
rotary_emb,2560,438.01
o_proj,2560,378.199
gate_up_proj,2560,2694.4629999999997
act_fn,2560,1936.915
down_proj,2560,650.145
layernorm,2624,740.7925
qkv_proj,2624,1665.828
rotary_emb,2624,659.715
o_proj,2624,580.513
gate_up_proj,2624,2957.6690000000003
act_fn,2624,2162.281
down_proj,2624,662.255
layernorm,2688,717.0115000000001
qkv_proj,2688,1537.956
rotary_emb,2688,479.091
o_proj,2688,386.609
gate_up_proj,2688,2817.675
act_fn,2688,2063.238
down_proj,2688,673.366
layernorm,2752,772.438
qkv_proj,2752,1729.092
rotary_emb,2752,679.866
o_proj,2752,596.474
gate_up_proj,2752,3117.372
act_fn,2752,2225.082
down_proj,2752,712.236
layernorm,2816,765.0225
qkv_proj,2816,1619.3970000000002
rotary_emb,2816,495.241
o_proj,2816,399.78
gate_up_proj,2816,2979.029
act_fn,2816,2151.7
down_proj,2816,727.787
layernorm,2880,792.3135
qkv_proj,2880,1692.69
rotary_emb,2880,500.522
o_proj,2880,459.681
gate_up_proj,2880,3116.683
act_fn,2880,2257.882
down_proj,2880,724.147
layernorm,2944,789.1985
qkv_proj,2944,1693.1190000000001
rotary_emb,2944,538.363
o_proj,2944,414.089
gate_up_proj,2944,3088.271
act_fn,2944,2275.913
down_proj,2944,725.467
layernorm,3008,798.4185
qkv_proj,3008,1903.424
rotary_emb,3008,730.027
o_proj,3008,673.315
gate_up_proj,3008,3294.337
act_fn,3008,2336.775
down_proj,3008,740.817
layernorm,3072,786.1085
qkv_proj,3072,1780.0810000000001
rotary_emb,3072,438.38
o_proj,3072,408.08
gate_up_proj,3072,3220.855
act_fn,3072,2289.274
down_proj,3072,758.588
layernorm,3136,846.0840000000001
qkv_proj,3136,1792.5819999999999
rotary_emb,3136,450.95
o_proj,3136,531.042
gate_up_proj,3136,3253.7160000000003
act_fn,3136,2336.454
down_proj,3136,782.198
layernorm,3200,827.6690000000001
qkv_proj,3200,1780.152
rotary_emb,3200,476.941
o_proj,3200,426.04
gate_up_proj,3200,3231.355
act_fn,3200,2333.324
down_proj,3200,791.048
layernorm,3264,892.711
qkv_proj,3264,1927.726
rotary_emb,3264,525.462
o_proj,3264,463.02
gate_up_proj,3264,3507.691
act_fn,3264,2465.308
down_proj,3264,793.309
layernorm,3328,884.925
qkv_proj,3328,1880.823
rotary_emb,3328,457.07
o_proj,3328,432.57
gate_up_proj,3328,3405.389
act_fn,3328,2425.367
down_proj,3328,822.319
layernorm,3392,923.431
qkv_proj,3392,2136.66
rotary_emb,3392,798.609
o_proj,3392,696.386
gate_up_proj,3392,3528.982
act_fn,3392,2560.84
down_proj,3392,824.339
layernorm,3456,889.9355
qkv_proj,3456,1994.996
rotary_emb,3456,487.631
o_proj,3456,443.12
gate_up_proj,3456,3606.643
act_fn,3456,2552.129
down_proj,3456,854.46
layernorm,3520,1010.5285000000001
qkv_proj,3520,2046.1580000000001
rotary_emb,3520,477.481
o_proj,3520,491.972
gate_up_proj,3520,3692.006
act_fn,3520,2617.291
down_proj,3520,856.8
layernorm,3584,934.6265000000001
qkv_proj,3584,2024.716
rotary_emb,3584,516.092
o_proj,3584,461.911
gate_up_proj,3584,3603.374
act_fn,3584,2539.55
down_proj,3584,848.79
layernorm,3648,994.9385
qkv_proj,3648,2035.698
rotary_emb,3648,574.733
o_proj,3648,469.951
gate_up_proj,3648,3788.939
act_fn,3648,2729.934
down_proj,3648,877.62
layernorm,3712,1184.8725
qkv_proj,3712,2003.1270000000002
rotary_emb,3712,620.834
o_proj,3712,482.741
gate_up_proj,3712,3675.615
act_fn,3712,2662.502
down_proj,3712,903.921
layernorm,3776,987.268
qkv_proj,3776,2339.7039999999997
rotary_emb,3776,864.35
o_proj,3776,729.957
gate_up_proj,3776,4078.4449999999997
act_fn,3776,2890.817
down_proj,3776,908.191
layernorm,3840,1052.9645
qkv_proj,3840,2149.441
rotary_emb,3840,525.543
o_proj,3840,478.291
gate_up_proj,3840,3941.591
act_fn,3840,2788.365
down_proj,3840,935.772
layernorm,3904,981.278
qkv_proj,3904,2282.783
rotary_emb,3904,886.131
o_proj,3904,712.197
gate_up_proj,3904,4119.086
act_fn,3904,2995.97
down_proj,3904,923.222
layernorm,3968,1042.2640000000001
qkv_proj,3968,2130.499
