run_id,status,batch_size,sample_ids,input_lens,output_lens,max_input_len,max_output_len,max_n_generated,batch_ttft_ms,batch_e2e_ms,error
34,OK,32,"[1106, 8402, 4669, 8013, 7024, 556, 4074, 2055, 1553, 6971, 5045, 2254, 7978, 9127, 9366, 5295, 245, 3627, 7766, 7501, 6088, 2629, 9783, 2502, 333, 8933, 2199, 4877, 4134, 8943, 6865, 8271]","[819, 1842, 1595, 329, 461, 1669, 859, 541, 605, 762, 1460, 661, 426, 684, 1257, 799, 499, 667, 1460, 867, 752, 836, 609, 972, 1045, 1123, 378, 466, 1950, 668, 531, 736]","[54, 86, 85, 38, 59, 196, 44, 52, 57, 68, 66, 65, 47, 60, 57, 95, 50, 73, 43, 40, 92, 30, 63, 56, 46, 65, 43, 51, 76, 63, 70, 19]",1950,196,196,,3580.191,
35,OK,32,"[7964, 3736, 6826, 8658, 1967, 3472, 4219, 1387, 7318, 9881, 3818, 9569, 5530, 7210, 7666, 2251, 7106, 6589, 3672, 4893, 285, 1091, 5595, 9489, 8131, 8686, 7273, 4644, 9746, 1092, 4468, 9717]","[626, 765, 799, 557, 1048, 995, 1294, 649, 980, 901, 398, 530, 402, 864, 668, 650, 579, 412, 649, 1065, 577, 1171, 500, 813, 928, 479, 743, 952, 773, 584, 818, 501]","[55, 70, 76, 51, 44, 169, 52, 81, 46, 72, 129, 65, 73, 60, 41, 51, 43, 96, 125, 69, 54, 70, 58, 74, 76, 113, 62, 69, 57, 26, 59, 94]",1294,169,169,,3060.307,
36,OK,32,"[3945, 4973, 6212, 6499, 5473, 1366, 32, 7724, 46, 4368, 1725, 8282, 7630, 7274, 9089, 1420, 8454, 2536, 2941, 7000, 1580, 8617, 1632, 7596, 1521, 3003, 617, 5420, 4891, 6044, 2135, 6886]","[1058, 345, 1214, 723, 666, 931, 775, 1123, 807, 1070, 442, 486, 1001, 590, 1650, 1296, 922, 968, 915, 543, 1213, 835, 1229, 907, 959, 575, 976, 975, 830, 656, 832, 1025]","[52, 40, 74, 75, 38, 53, 46, 83, 20, 95, 47, 64, 65, 41, 48, 72, 91, 63, 23, 71, 66, 84, 65, 75, 46, 61, 72, 73, 61, 72, 21, 65]",1650,95,95,,2506.987,
37,OK,32,"[7335, 8222, 3961, 5861, 2101, 1839, 8247, 3419, 6994, 7776, 4369, 3664, 7921, 6310, 162, 8970, 3728, 3648, 6595, 1028, 7556, 2271, 5529, 7244, 9873, 4336, 1652, 6114, 3820, 7456, 903, 85]","[612, 1252, 1387, 1415, 1038, 1399, 521, 1553, 453, 592, 1015, 1123, 1251, 869, 591, 476, 1152, 541, 1898, 494, 417, 1227, 984, 754, 791, 598, 1064, 1147, 431, 689, 1402, 800]","[54, 65, 76, 55, 102, 60, 46, 33, 41, 56, 52, 78, 46, 46, 54, 27, 72, 16, 76, 74, 62, 72, 49, 74, 87, 80, 40, 62, 31, 46, 31, 30]",1898,102,102,,2639.94,
38,OK,32,"[2523, 3379, 8348, 3053, 9830, 6094, 3467, 1604, 5899, 9129, 8358, 2992, 6736, 2692, 6179, 9023, 7903, 8488, 1014, 4818, 7195, 2203, 8040, 5890, 2931, 8703, 103, 2810, 7002, 119, 9020, 8342]","[1370, 257, 1293, 1213, 728, 1067, 208, 743, 1571, 1158, 797, 1017, 1135, 626, 692, 715, 888, 527, 918, 213, 770, 550, 668, 568, 863, 1858, 532, 689, 406, 715, 190, 444]","[54, 50, 31, 43, 47, 46, 44, 57, 63, 52, 63, 71, 76, 50, 39, 39, 50, 77, 26, 41, 38, 41, 68, 73, 55, 123, 88, 48, 52, 64, 32, 59]",1858,123,123,,2642.11,
39,OK,32,"[1171, 2956, 4138, 3766, 7647, 977, 6982, 7817, 784, 9776, 1442, 1164, 8428, 9247, 5376, 6601, 2863, 7545, 5649, 2325, 6329, 7027, 4227, 51, 5831, 2962, 3890, 8300, 2654, 780, 3225, 8780]","[229, 1190, 1264, 775, 1668, 380, 737, 580, 819, 1281, 2029, 1099, 1142, 667, 1149, 1082, 776, 1517, 477, 1431, 576, 360, 1811, 1372, 920, 481, 996, 463, 1502, 988, 515, 1255]","[51, 75, 67, 46, 52, 64, 58, 62, 116, 85, 54, 111, 43, 46, 66, 47, 86, 72, 51, 39, 59, 50, 74, 69, 67, 85, 101, 59, 60, 62, 16, 56]",2029,116,116,,2915.95,
40,OK,32,"[3485, 1895, 1192, 148, 8584, 2997, 6758, 4494, 4064, 3912, 4797, 4040, 3329, 59, 807, 9879, 2804, 3926, 4587, 4437, 1278, 3918, 6251, 7801, 898, 5380, 7367, 8200, 4944, 2432, 9558, 426]","[619, 1056, 1343, 997, 368, 878, 399, 1158, 1486, 1475, 1170, 1317, 1151, 2291, 741, 1310, 513, 1074, 794, 968, 1183, 985, 502, 997, 437, 556, 659, 674, 656, 1344, 707, 607]","[55, 66, 94, 71, 40, 79, 60, 79, 27, 45, 88, 79, 62, 229, 31, 61, 54, 75, 99, 39, 31, 68, 71, 68, 41, 60, 59, 62, 78, 79, 58, 50]",2291,229,229,,4096.015,
41,OK,32,"[7083, 7734, 9178, 8395, 7568, 9486, 2453, 8808, 8224, 9926, 1438, 7416, 5218, 1753, 4148, 2451, 3131, 3758, 41, 2963, 2384, 7503, 4150, 1228, 9914, 3321, 2415, 8891, 3775, 847, 8689, 9750]","[659, 472, 575, 886, 996, 888, 1022, 1184, 535, 1259, 474, 555, 724, 366, 654, 637, 258, 853, 962, 1098, 890, 519, 732, 485, 511, 545, 810, 738, 895, 446, 778, 1576]","[68, 52, 58, 51, 55, 61, 48, 57, 56, 67, 44, 76, 50, 68, 52, 89, 38, 39, 51, 114, 94, 27, 57, 36, 72, 37, 54, 58, 64, 84, 66, 56]",1576,114,114,,2476.259,
42,OK,32,"[2591, 2959, 8110, 2140, 2616, 9067, 6625, 7289, 5563, 5830, 3289, 1173, 5749, 1097, 1964, 1921, 2059, 1672, 8665, 6999, 5553, 7459, 8094, 8882, 2177, 3441, 5573, 715, 3834, 6103, 727, 4482]","[670, 1268, 1219, 459, 568, 864, 1089, 527, 433, 456, 1186, 1194, 1223, 568, 619, 863, 382, 471, 411, 863, 1957, 138, 381, 861, 1300, 532, 1243, 459, 659, 1163, 750, 934]","[55, 80, 85, 64, 63, 88, 42, 116, 62, 66, 43, 49, 70, 40, 65, 62, 23, 57, 71, 44, 90, 34, 71, 78, 66, 76, 40, 58, 62, 44, 50, 108]",1957,116,116,,2609.375,
43,OK,32,"[1460, 2538, 9421, 1740, 3341, 1229, 4311, 9816, 1518, 5577, 9087, 1390, 3636, 8130, 4133, 6277, 7700, 4555, 4837, 4152, 2540, 1545, 1103, 3468, 1063, 9059, 2234, 2036, 4667, 2745, 2031, 7704]","[670, 245, 843, 715, 929, 1534, 548, 543, 492, 862, 1022, 831, 670, 450, 1635, 972, 1023, 282, 494, 778, 967, 320, 578, 1341, 468, 1164, 332, 577, 1693, 1179, 725, 1820]","[45, 33, 66, 58, 61, 77, 43, 50, 72, 50, 57, 82, 59, 65, 49, 36, 50, 44, 47, 74, 53, 95, 73, 98, 72, 77, 58, 92, 117, 79, 99, 79]",1820,117,117,,2713.12,
44,OK,32,"[1089, 8253, 1478, 2445, 585, 7031, 5067, 8903, 2184, 2104, 6819, 5952, 4304, 5750, 4, 8044, 1803, 5231, 9700, 803, 9340, 8152, 1344, 1494, 2017, 1400, 1202, 9758, 5943, 7857, 6633, 2110]","[997, 239, 365, 1272, 1152, 932, 736, 1178, 852, 875, 820, 884, 841, 1070, 1011, 1032, 451, 1043, 1048, 1517, 1496, 482, 458, 767, 548, 570, 482, 653, 558, 845, 1318, 2054]","[79, 38, 40, 75, 95, 82, 36, 50, 38, 49, 53, 52, 82, 79, 68, 120, 52, 33, 69, 44, 103, 44, 55, 65, 68, 37, 39, 73, 57, 50, 51, 102]",2054,120,120,,2815.043,
45,OK,32,"[4421, 1070, 2812, 9448, 4094, 3295, 2955, 9861, 1576, 7196, 8833, 9523, 2975, 760, 2349, 4280, 901, 4341, 1440, 2699, 5702, 7377, 1133, 6327, 2703, 7686, 8006, 7667, 3577, 1337, 7237, 791]","[1318, 1322, 698, 1230, 504, 1004, 981, 845, 1437, 531, 930, 1307, 1466, 861, 1146, 860, 1514, 698, 1581, 702, 944, 640, 196, 909, 425, 508, 166, 409, 800, 1218, 642, 593]","[47, 43, 50, 108, 54, 81, 55, 56, 110, 60, 57, 131, 68, 42, 29, 67, 63, 60, 40, 67, 56, 47, 50, 17, 52, 35, 46, 44, 56, 81, 84, 60]",1581,131,131,,2897.516,
46,OK,32,"[7527, 3678, 6290, 3777, 1551, 6903, 1856, 8795, 5114, 6032, 4819, 4160, 2112, 2846, 7147, 9594, 7142, 5720, 1853, 1610, 8481, 573, 7803, 8967, 7823, 4780, 1634, 6632, 1680, 5617, 2833, 6106]","[849, 440, 1501, 1190, 1008, 1738, 772, 874, 826, 1285, 817, 746, 581, 661, 596, 620, 293, 918, 453, 881, 888, 642, 1046, 600, 359, 722, 829, 2016, 571, 640, 1627, 1432]","[40, 96, 92, 75, 67, 96, 42, 58, 74, 68, 84, 50, 71, 71, 49, 33, 50, 67, 54, 44, 52, 41, 39, 70, 34, 61, 127, 82, 64, 68, 65, 34]",2016,127,127,,2887.086,
47,OK,32,"[1032, 3516, 7742, 2773, 9800, 3482, 2160, 7793, 9943, 68, 9555, 8893, 1203, 3406, 1137, 2288, 2796, 2099, 2317, 8803, 1819, 2661, 3645, 4390, 8159, 9100, 1244, 3033, 2680, 4971, 9265, 7227]","[1951, 667, 839, 403, 1711, 1023, 552, 840, 1082, 613, 827, 198, 1214, 901, 1502, 1223, 458, 452, 645, 850, 538, 924, 1147, 967, 1991, 816, 843, 601, 949, 632, 375, 1151]","[84, 45, 63, 56, 134, 65, 57, 53, 79, 58, 64, 44, 70, 23, 86, 44, 56, 60, 55, 51, 56, 60, 38, 70, 102, 108, 74, 59, 65, 43, 41, 62]",1991,134,134,,2989.101,
48,OK,32,"[8552, 4860, 4132, 4980, 5870, 5631, 2919, 8026, 8043, 9659, 3290, 9449, 4382, 5258, 4676, 5854, 2341, 7067, 9525, 1496, 8150, 3479, 260, 7664, 6017, 5475, 9270, 3707, 2098, 4112, 4261, 3517]","[693, 2266, 724, 857, 503, 951, 803, 402, 791, 1352, 902, 1820, 541, 897, 153, 869, 885, 1199, 773, 847, 608, 1234, 986, 654, 1290, 408, 735, 1802, 730, 1046, 324, 1633]","[71, 46, 81, 70, 49, 109, 47, 61, 41, 60, 62, 91, 59, 108, 22, 104, 103, 88, 72, 86, 55, 44, 79, 52, 35, 58, 79, 55, 111, 98, 50, 69]",2266,111,111,,2836.13,
49,OK,32,"[4588, 589, 336, 242, 3924, 5963, 9163, 938, 1157, 2421, 9955, 1319, 761, 9540, 637, 4276, 941, 2163, 4974, 9297, 8096, 7414, 662, 3748, 5113, 7072, 1268, 235, 9054, 4547, 835, 8993]","[802, 814, 1027, 1372, 313, 945, 606, 737, 732, 1080, 601, 685, 848, 765, 973, 642, 1109, 700, 1653, 405, 1006, 499, 682, 1333, 855, 867, 422, 612, 1659, 720, 824, 746]","[72, 71, 33, 53, 63, 57, 47, 60, 38, 102, 62, 54, 116, 75, 53, 67, 65, 53, 105, 43, 78, 59, 43, 100, 69, 54, 66, 26, 102, 51, 53, 42]",1659,116,116,,2693.94,
