prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,32,4,64,25.558
16,32,4,128,26.0907
16,32,4,256,42.507
16,32,4,512,60.875
16,32,4,1024,86.7847
16,32,4,2048,136.897
16,32,4,4096,236.685
16,32,4,8192,436.515
16,32,8,16,42.72
16,32,8,32,42.742
16,32,8,64,42.9337
16,32,8,128,43.9687
16,32,8,256,75.2967
16,32,8,512,108.577
16,32,8,1024,161.388
16,32,8,2048,261.421
16,32,8,4096,459.576
16,32,8,8192,857.201
16,32,16,16,69.11
16,32,16,32,69.0777
16,32,16,64,69.526
16,32,16,128,70.7207
16,32,16,256,127.787
16,32,16,512,182.412
16,32,16,1024,275.479
16,32,16,2048,452.365
16,32,16,4096,800.326
16,32,16,8192,1497.38
16,32,32,16,128.811
16,32,32,32,128.982
16,32,32,64,129.409
16,32,32,128,131.52
16,32,32,256,239.149
16,32,32,512,350.349
16,32,32,1024,548.218
16,32,32,2048,917.243
16,32,32,4096,1646.14
16,32,32,8192,4064
16,64,0,0,16.811
16,64,1,16,16.5653
16,64,1,32,16.587
16,64,1,64,16.811
16,64,1,128,16.8427
16,64,1,256,24.3093
16,64,1,512,33.9307
16,64,1,1024,46.7203
16,64,1,2048,71.659
16,64,1,4096,121.089
16,64,1,8192,220.353
16,64,2,16,25.419
16,64,2,32,25.2587
16,64,2,64,25.4513
16,64,2,128,25.6533
16,64,2,256,33.2057
16,64,2,512,39.8297
16,64,2,1024,51.9893
16,64,2,2048,76.95
16,64,2,4096,125.814
16,64,2,8192,223.137
16,64,4,16,25.291
16,64,4,32,25.4193
16,64,4,64,25.7177
16,64,4,128,26.3253
16,64,4,256,42.6567
16,64,4,512,60.7263
16,64,4,1024,86.8273
16,64,4,2048,136.822
16,64,4,4096,236.866
16,64,4,8192,436.567
16,64,8,16,42.7103
16,64,8,32,42.945
16,64,8,64,43.3493
16,64,8,128,43.7547
16,64,8,256,75.275
16,64,8,512,108.491
16,64,8,1024,160.897
16,64,8,2048,261.762
16,64,8,4096,459.416
16,64,8,8192,856.751
16,64,16,16,69.0883
16,64,16,32,69.2383
16,64,16,64,69.5037
16,64,16,128,70.6147
16,64,16,256,128.054
16,64,16,512,182.337
16,64,16,1024,275.991
16,64,16,2048,452.206
16,64,16,4096,800.38
16,64,16,8192,1499.52
16,64,32,16,128.886
16,64,32,32,129.089
16,64,32,64,129.43
16,64,32,128,131.445
16,64,32,256,239.788
16,64,32,512,350.68
16,64,32,1024,551.086
16,64,32,2048,918.203
16,64,32,4096,1650.97
16,64,32,8192,3758.21
16,128,0,0,16.895
16,128,1,16,16.7253
16,128,1,32,16.6827
16,128,1,64,16.7253
16,128,1,128,16.9813
16,128,1,256,24.2773
16,128,1,512,34.2933
16,128,1,1024,46.88
16,128,1,2048,71.8403
16,128,1,4096,121.451
16,128,1,8192,220.588
16,128,2,16,25.28
16,128,2,32,25.4623
16,128,2,64,25.7703
16,128,2,128,25.7923
16,128,2,256,33.1313
16,128,2,512,39.99
16,128,2,1024,52.4913
16,128,2,2048,77.1843
16,128,2,4096,125.537
16,128,2,8192,222.818
16,128,4,16,25.4513
16,128,4,32,25.408
16,128,4,64,25.7707
16,128,4,128,26.4747
16,128,4,256,42.5173
16,128,4,512,60.8103
16,128,4,1024,86.7313
16,128,4,2048,136.993
16,128,4,4096,237.057
16,128,4,8192,436.526
