run_id,status,batch_size,sample_ids,input_lens,output_lens,max_input_len,max_output_len,max_n_generated,batch_ttft_ms,batch_e2e_ms,error
24,OK,16,"[3294, 1246, 7730, 7235, 8709, 8073, 3972, 9657, 9928, 4633, 329, 1695, 5556, 1375, 3718, 372]","[5838, 6326, 6939, 3604, 6743, 3347, 6156, 4384, 3699, 6739, 1200, 5247, 5688, 7045, 745, 6568]","[794, 321, 413, 143, 264, 119, 280, 387, 121, 138, 52, 205, 193, 233, 86, 144]",7045,794,794,,10051.901,
25,OK,16,"[5181, 5078, 8029, 7743, 3624, 8684, 4364, 8433, 3393, 4894, 2674, 7999, 5589, 4010, 9822, 3942]","[3924, 3883, 5127, 1896, 1842, 5295, 3318, 4138, 6518, 5406, 3527, 7025, 6695, 1471, 5483, 4276]","[178, 192, 430, 55, 99, 305, 73, 145, 244, 231, 148, 127, 71, 83, 188, 304]",7025,430,430,,6735.219,
26,OK,16,"[7355, 1869, 7538, 2166, 1702, 8784, 3436, 9496, 5137, 3901, 4576, 3704, 9793, 3342, 9101, 7927]","[4966, 790, 6039, 1640, 2985, 5014, 5621, 5852, 3802, 3369, 2218, 7407, 6360, 2975, 7394, 4404]","[297, 105, 183, 348, 255, 173, 107, 251, 181, 118, 120, 106, 178, 104, 136, 227]",7407,348,348,,6188.5,
27,OK,16,"[9470, 6056, 8161, 4454, 7066, 8103, 6488, 6691, 9278, 886, 7625, 3102, 7405, 4761, 2944, 4226]","[3479, 7034, 6018, 2753, 6864, 3018, 5440, 7592, 4006, 1668, 4516, 5174, 5866, 4493, 4343, 1540]","[150, 149, 141, 160, 447, 229, 132, 195, 155, 64, 231, 86, 264, 115, 142, 51]",7592,447,447,,7020.979,
28,OK,16,"[1979, 6175, 1563, 4259, 4463, 5043, 2792, 2895, 6842, 2646, 4399, 7897, 9195, 852, 8134, 6929]","[2781, 7142, 5709, 4803, 6025, 3378, 3265, 5882, 6769, 3977, 6822, 3750, 4755, 2220, 7078, 5997]","[108, 120, 200, 303, 257, 228, 162, 330, 156, 214, 351, 170, 212, 103, 151, 55]",7142,351,351,,6951.178,
29,OK,16,"[3454, 7337, 1700, 8382, 4773, 9920, 1396, 6239, 9545, 2843, 6846, 2394, 9801, 7837, 9192, 462]","[5400, 3654, 5487, 4007, 7138, 6990, 4385, 2272, 6172, 7084, 7588, 6949, 3796, 3884, 7040, 5182]","[134, 316, 62, 152, 173, 104, 55, 163, 345, 125, 95, 256, 279, 172, 149, 355]",7588,355,355,,7284.886,
30,OK,16,"[8666, 7810, 3899, 3146, 1425, 6729, 2818, 4415, 4551, 1664, 8216, 116, 8286, 4092, 5068, 7492]","[2439, 4601, 2440, 6535, 3190, 4398, 6080, 1323, 4731, 3278, 3795, 4493, 4866, 7553, 3248, 3790]","[168, 230, 186, 160, 130, 251, 89, 438, 241, 146, 351, 248, 169, 103, 154, 151]",7553,438,438,,6563.114,
31,OK,16,"[8277, 2043, 1485, 537, 6368, 5836, 130, 8796, 8036, 3940, 5276, 6598, 2605, 1076, 2765, 4439]","[1430, 4024, 2977, 2798, 7154, 6199, 5141, 3899, 5137, 5961, 6338, 4563, 5006, 3809, 4745, 1718]","[125, 86, 91, 220, 223, 214, 147, 67, 286, 193, 148, 103, 138, 132, 168, 215]",7154,286,286,,5743.199,
32,OK,16,"[1053, 6416, 6124, 1512, 9602, 476, 5992, 7117, 5791, 3120, 4253, 1828, 2156, 8129, 6894, 9715]","[3146, 5707, 5966, 2399, 4807, 1292, 6042, 5378, 5305, 4279, 328, 3809, 5865, 4991, 6665, 3607]","[200, 69, 239, 115, 284, 133, 170, 128, 179, 89, 102, 65, 156, 112, 135, 114]",6665,284,284,,5529.921,
33,OK,16,"[4303, 4961, 920, 4215, 8771, 7183, 2230, 969, 8188, 225, 4203, 7543, 6813, 4914, 736, 1520]","[5666, 5031, 1372, 5043, 7350, 3592, 5560, 3357, 6234, 6691, 4269, 3856, 4620, 3371, 5184, 4762]","[220, 145, 18, 139, 325, 219, 286, 41, 55, 233, 115, 140, 304, 47, 214, 156]",7350,325,325,,6379.706,
34,OK,16,"[4428, 7090, 4541, 9886, 540, 5872, 7362, 2209, 5253, 3032, 2993, 3319, 6568, 3816, 105, 7560]","[4736, 4103, 3722, 3898, 3887, 4419, 5139, 3858, 3616, 4559, 4737, 6385, 3674, 2810, 4976, 3630]","[104, 134, 124, 143, 199, 114, 112, 361, 164, 106, 224, 165, 296, 154, 247, 259]",6385,361,361,,6041.623,
35,OK,16,"[3017, 1584, 9752, 3279, 1744, 1040, 8021, 8858, 5362, 3762, 4418, 6624, 9786, 5920, 9029, 9620]","[5674, 860, 4418, 1445, 7082, 6672, 1663, 5053, 7486, 4870, 5486, 6830, 1594, 4393, 5533, 4983]","[104, 93, 262, 69, 117, 233, 88, 266, 196, 287, 215, 229, 136, 111, 244, 142]",7486,287,287,,6102.959,
36,OK,16,"[6686, 420, 6719, 1045, 4884, 9088, 5966, 8071, 4168, 8015, 1802, 3973, 3701, 8160, 6458, 3537]","[6303, 6646, 645, 5927, 3597, 6731, 5228, 5127, 1851, 4612, 3981, 5405, 1481, 6650, 6946, 1175]","[315, 173, 375, 211, 70, 315, 211, 102, 98, 158, 204, 51, 42, 108, 174, 160]",6946,375,375,,6417.701,
37,OK,16,"[9409, 1924, 9860, 1174, 3872, 4523, 7271, 3487, 3533, 456, 512, 7406, 8192, 7591, 4039, 7890]","[900, 3194, 4375, 7060, 7206, 3119, 7123, 3317, 7576, 5836, 6533, 2829, 6009, 3871, 6003, 7136]","[206, 128, 177, 164, 160, 55, 343, 197, 261, 202, 153, 219, 196, 268, 151, 267]",7576,343,343,,7027.605,
38,OK,16,"[5058, 8047, 610, 7546, 8589, 5839, 1144, 4247, 2735, 429, 8950, 2569, 4043, 2999, 3567, 1987]","[6482, 2955, 5296, 3004, 3357, 3764, 4290, 5274, 6329, 5498, 2108, 4884, 6364, 4728, 1869, 1227]","[224, 201, 362, 247, 251, 315, 159, 170, 253, 141, 102, 145, 169, 225, 109, 190]",6482,362,362,,6254.687,
39,OK,16,"[5039, 9738, 7572, 6042, 737, 2954, 5072, 9359, 1254, 5227, 9320, 8987, 5326, 3669, 6579, 7445]","[5812, 3240, 3520, 4271, 5754, 5541, 5064, 3696, 7280, 1166, 3377, 2565, 4372, 2218, 6165, 3000]","[248, 383, 237, 125, 116, 324, 111, 429, 206, 82, 216, 157, 310, 79, 196, 472]",7280,472,472,,7116.151,
40,OK,16,"[5560, 88, 6738, 9066, 1918, 5819, 904, 6890, 5680, 8499, 9835, 8215, 6666, 5823, 3484, 7140]","[6699, 1763, 5793, 1648, 6800, 3258, 2454, 5526, 1951, 6660, 1973, 7554, 4431, 3724, 2919, 4716]","[115, 118, 204, 146, 182, 129, 31, 153, 193, 168, 176, 491, 140, 74, 383, 192]",7554,491,491,,7040.758,
41,OK,16,"[6209, 8338, 5329, 659, 5, 1231, 4077, 664, 4937, 9235, 6897, 144, 7087, 742, 5497, 6871]","[4485, 1764, 5006, 7343, 4061, 6922, 6486, 6558, 2503, 4578, 4316, 6689, 3403, 1961, 2649, 6416]","[360, 72, 114, 170, 200, 158, 100, 360, 638, 279, 170, 119, 107, 140, 152, 168]",7343,638,638,,8368.622,
42,OK,16,"[9683, 417, 8359, 5073, 4902, 5879, 6312, 8474, 328, 8487, 7022, 3107, 7908, 5986, 9291, 8805]","[6656, 3376, 2831, 3116, 4462, 5426, 4571, 7569, 6699, 5271, 3852, 5195, 3807, 640, 5526, 4979]","[227, 232, 87, 253, 85, 195, 177, 167, 197, 217, 143, 224, 121, 146, 225, 105]",7569,253,253,,5802.613,
43,OK,16,"[9718, 8968, 9972, 8153, 4849, 8604, 5180, 8241, 8486, 7646, 2028, 4485, 3129, 6436, 6844, 4521]","[2615, 3430, 5985, 5520, 4630, 3573, 4344, 4994, 6205, 5798, 3346, 2217, 2587, 7754, 5155, 997]","[234, 363, 112, 275, 209, 95, 187, 220, 135, 369, 94, 76, 48, 272, 390, 232]",7754,390,390,,6682.125,
44,OK,16,"[6781, 5410, 6183, 1657, 8048, 5763, 5851, 8017, 5138, 5892, 1708, 4658, 4093, 8362, 6030, 5842]","[4575, 7259, 5594, 5060, 6811, 4260, 3590, 3243, 1857, 4685, 3351, 6242, 5525, 4137, 4636, 6078]","[304, 107, 138, 291, 89, 157, 183, 134, 107, 100, 72, 115, 194, 196, 175, 220]",7259,304,304,,6100.357,
45,OK,16,"[4597, 80, 4785, 3744, 156, 212, 8030, 237, 1969, 6266, 7732, 6727, 5197, 6558, 4317, 1896]","[4762, 3836, 3944, 4383, 5557, 6020, 4596, 5372, 5416, 6042, 1849, 5225, 4806, 4075, 5062, 4601]","[136, 141, 196, 683, 185, 149, 82, 310, 152, 275, 135, 312, 173, 173, 99, 150]",6042,683,683,,8562.382,
46,OK,16,"[6260, 9245, 7495, 7188, 9153, 3271, 9855, 9973, 2246, 7120, 6440, 5691, 6043, 2219, 3075, 8945]","[1750, 5175, 5169, 3361, 5844, 5645, 7202, 6211, 3405, 2411, 4267, 2676, 2194, 2606, 6959, 3640]","[119, 338, 199, 199, 285, 311, 230, 283, 132, 83, 126, 181, 279, 112, 254, 214]",7202,338,338,,6312.447,
47,OK,16,"[6185, 5029, 7797, 2741, 7936, 6377, 5077, 5485, 7862, 6155, 5643, 3570, 1501, 2467, 7044, 3177]","[2832, 1289, 3319, 5051, 1186, 4909, 4370, 2037, 1147, 5969, 2971, 6491, 5450, 4858, 4598, 4560]","[127, 147, 146, 129, 277, 325, 294, 101, 100, 245, 145, 173, 111, 182, 331, 199]",6491,331,331,,5679.093,
48,OK,16,"[4771, 6748, 470, 7048, 7213, 8958, 2854, 965, 7972, 6115, 4899, 4674, 7449, 2411, 2433, 6122]","[6405, 7676, 5429, 5460, 6206, 7210, 4153, 2267, 1437, 3804, 6557, 7425, 7102, 5324, 5071, 6968]","[69, 68, 140, 164, 144, 119, 104, 137, 241, 173, 149, 119, 119, 269, 102, 180]",7676,269,269,,6502.352,
49,OK,16,"[6776, 4679, 2295, 8787, 1312, 4284, 4596, 7807, 8610, 1881, 1266, 5478, 3383, 8563, 9150, 1415]","[7448, 5218, 4096, 6231, 5897, 6453, 2636, 2163, 7109, 5368, 7103, 3927, 7614, 7508, 6515, 5441]","[171, 162, 151, 326, 252, 211, 59, 267, 144, 227, 462, 197, 154, 502, 264, 66]",7614,502,502,,8869.43,
